policy,accuracy_pp,total_seconds,median_seconds_per_request,deployable
always_local,53.57142857142857,626.8318198000197,2.5893000999931246,1
always_hosted,85.71428571428571,71.02569830033462,0.3738801999716088,1
map_based,85.71428571428571,71.02569830033462,0.3738801999716088,1
cascade,55.00000000000001,634.0997229000204,2.5893000999931246,1
oracle,89.28571428571429,,,0
