policy,accuracy_pp,total_usd,usd_per_1k_requests,deployable
always_local,53.57142857142857,0,0.0,1
always_hosted,85.71428571428571,0.018164380000000004,0.12974557142857146,1
map_based,85.71428571428571,0.018164380000000004,0.12974557142857146,1
cascade,55.00000000000001,0.0020127499999999998,0.014376785714285713,1
oracle,89.28571428571429,,,0
