slice,is_primary,n_pairs,delta_pp,ci_lower_pp,ci_upper_pp,verdict
high_school_geography,1,100,-22.0,-23.897522958254324,-15.221161451728973,below_margin
formal_logic,1,100,-33.0,-39.62744759977979,-22.83317405794078,below_margin
nutrition,0,100,-22.0,-23.897522958254324,-15.221161451728973,below_margin
marketing,0,100,-16.0,-21.16759949448598,-7.593247228602413,inconclusive
miscellaneous,0,100,-21.0,-26.185835525797103,-12.274423478520214,below_margin
college_mathematics,0,100,-18.0,-26.13017914678506,-7.509111765898016,inconclusive
professional_law,0,100,-28.999999999999996,-37.7184567871853,-17.488856911388957,below_margin
high_school_psychology,0,100,-12.0,-17.859186469735626,-3.5288022057131845,inconclusive
